diffNuisances run on /nfs/dust/cms/user/sobhatta/work/stopPairToTau/combine/CMSSW_10_2_13/src/corrCovTestDir/SMS-T8bbstausnu_mStop-200to1800_XCha0p5_XStau0p5_tauTau_analysis_DYveto_pseudodataSB_combined_card2016_card2017_card2018/combineDatacard_SRB_1000_1_pseudodataSB/fitDiagnosticsTest.root, at 2021-11-02 09:34:42.710183 with the following options ... {'absolute_values': False, 'show_all_parameters': True, 'format': 'text', 'stol2': 0.5, 'pullDef': '', 'vtol': 0.3, 'stol': 0.1, 'plotfile': 'plots.root', 'skipFitB': False, 'sortBy': 'correlation', 'vtol2': 2.0, 'poi': 'r', 'skipFitS': False}

name                                              b-only fit            s+b fit         rho  approx impact
stat2016_TT_SRB11                                +0.01, 0.97        +0.00, 0.97       -0.00      -0.000
stat2016_TT_SRB1                                 -0.01, 0.98        -0.00, 0.98       +0.00      +0.001
stat2016_DY_SRB9                                 +0.00, 0.97        +0.00, 1.00       +0.00      +0.000
stat2016_DY_SRB8                                 +0.00, 1.02        +0.00, 1.00       -0.00      -0.000
stat2016_DY_SRB7                                 -0.01, 1.00        +0.00, 1.00       +0.00      +0.000
stat2016_DY_SRB6                                 -0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2016_DY_SRB4                                 -0.01, 0.98        -0.00, 0.99       +0.00      +0.001
stat2016_DY_SRB3                                 -0.01, 0.99        -0.00, 0.99       -0.00      -0.000
stat2016_DY_SRB15                                +2.66, 1.73     ! +0.00, 1.00!       -0.00      -0.000
stat2016_DY_SRB14                                +0.00, 1.01        +0.00, 1.00       -0.00      -0.000
stat2016_DY_SRB13                                +0.00, 0.99        +0.00, 1.00       -0.00      -0.000
stat2016_DY_SRB12                                -0.04, 0.98        +0.00, 0.98       +0.00      +0.001
stat2016_DY_SRB11                                +0.00, 1.02        +0.00, 1.00       -0.00      -0.000
stat2016_DY_SRB1                                 -0.01, 0.98        -0.00, 0.98       +0.00      +0.001
normalization                                    +0.59, 0.92     * -0.00, 0.94*       -0.00      -0.000
